Balance Inicial,Balance Final,Porcentaje de Cambio,Tiempo Ejecucion
63626.1821555,63689.7769735,0.0999507055830796,00:42:34
63689.7769735,63753.4394035,0.0999570622244329,00:50:01
63753.4394035,63817.3381391,0.1002279033066439,02:27:24
63817.3381391,63881.3358147,0.1002825838027123,02:29:04
10000.0,73067.6457126,630.6764571260001,00:01:32
73067.6457126,73140.6831927,0.0999587154994443,01:46:43
73140.6831927,73176.2348789,0.0486072656804789,01:46:05
73176.2348789,73621.6529449,0.6086922437825951,03:40:02
73621.6529449,73200.5488124,-0.5719840775853813,02:43:27
73200.5488124,73273.7093996,0.09994540804264306,01:36:08
